EVENT_START,EVENT_END,PERIOD_START,PERIOD_END,COUNTRY,STOREREGION,STORE,PS_BU,TEAM_NAME,TEAM,SUBTEAM_NAME,SUBTEAM,BRAND,NAT_UPC,ITEM_DESCRIPTION,SIZE,UOM,CURRENCY,UNIT_SALES,DOLLAR_SALES,DOLLARALLOWANCE,PERCENTALLOWANCE,TOTALDOLLARALLOWANCE,TOTALPERCENTALLOWANCE,TOTALALLOWANCE,PRIMEID,BILL_TYPE,EVENT_ID,SCANBACK_DESCRIPTION
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MA,Philly Center City,10514,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MA,West Broad Street,10598,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,NE,Jersey City,10772,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,NE,One Wall Street,10696,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,2.00,13.98,0.45,0.00,0.90,0.00,-0.90,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MW,Cincinnati,10287,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MA,Foggy Bottom,10414,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,NE,Jericho,10161,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MA,Marlton,10086,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MW,South Loop,10171,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,NE,Tribeca,10245,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MW,Easton,10555,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
