Event_Start,Event_End,Period_Start,Period_End,Country,Store_Region,Store,PS_BU,Team_Name,Team,Subteam_Name,Subteam,Brand,Nat_UPC,Item_Description,Size,UOM,Currency,Unit_Sales,Dollar_Sales,Dollar_Allowance,Percent_Allowance,Total_Dollar_Allowance,Total_Percent_Allowance,Invoice,Total_Allowance,PrimeId,Account,Transaction_Date,Lookback,LookbackApprovalDate,Bill_Type,Event_ID,Lawson_ID,LOC,Deduction_Type,Event_Enterer,Event_Approver,ScanbackId,Owner_Region,Scanback_Description
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,RM,Lincoln,10493,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,RM,Frisco,10470,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.99,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,RM,Pikes Peak,10146,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,PN,Chambers Bay,10588,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,PN,Interbay,10275,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,NE,NoMad,10773,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,NE,Spring Lake Wall,10587,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,NE,Albany,10492,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,NE,Brooklyn,10220,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,NE,Middletown,10213,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,NC,Reno,10293,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,NC,Walnut Creek,10101,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.99,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,NC,Berkeley,10006,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.99,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,NA,Glastonbury,10336,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,NA,Cranston,10254,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,NA,Newton,10013,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,MW,Madison Segoe,10776,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,MW,Kenwood,10666,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,MW,Market Square,10597,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,MW,West Des Moines,10460,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,MW,Mason,10340,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,MW,Milwaukee,10197,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,MW,South Loop,10171,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
08/01/2025,08/31/2025,08/01/2025,08/31/2025,USA,MW,River Forest,10029,Grocery,100,"Baking, Meals",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,13.49,0.15,0,0.15,0,,-0.15,,,,,,SPDA,10057628,,,,,,,,"SPDA 2025 AUG Kosterina 0.15"
